table,format,size (MB),query,time (seconds),comment
NAIVE SCHEMA,TEXTFORMAT,670,1,137,MR DEFAULT
NAIVE SCHEMA,TEXTFORMAT,670,2,172,MR DEFAULT
NAIVE SCHEMA,TEXTFORMAT,670,3,298,MR DEFAULT
NAIVE SCHEMA,TEXTFORMAT,670,4,156,MR DEFAULT
NAIVE SCHEMA,TEXTFORMAT,670,1,136,MR WITH INDEX
NAIVE SCHEMA,TEXTFORMAT,670,2,174,MR WITH INDEX
NAIVE SCHEMA,TEXTFORMAT,670,3,298,MR WITH INDEX
NAIVE SCHEMA,TEXTFORMAT,670,4,159,MR WITH INDEX
NAIVE SCHEMA,TEXTFORMAT,670,1,147,TEZ
NAIVE SCHEMA,TEXTFORMAT,670,2,256,TEZ
NAIVE SCHEMA,TEXTFORMAT,670,3,276,TEZ
NAIVE SCHEMA,TEXTFORMAT,670,4,221,TEZ
NAIVE SCHEMA,TEXTFORMAT,670,1,138,MR WITH VECTORIZATION
NAIVE SCHEMA,TEXTFORMAT,670,2,176,MR WITH VECTORIZATION
NAIVE SCHEMA,TEXTFORMAT,670,3,297,MR WITH VECTORIZATION
NAIVE SCHEMA,TEXTFORMAT,670,4,158,MR WITH VECTORIZATION
NAIVE SCHEMA,AVRO,529,1,201,MR DEFAULT
NAIVE SCHEMA,AVRO,529,2,350,MR DEFAULT
NAIVE SCHEMA,AVRO,529,3,444,MR DEFAULT
NAIVE SCHEMA,AVRO,529,4,240,MR DEFAULT
NAIVE SCHEMA,AVRO,529,1,204,MR WITH INDEX
NAIVE SCHEMA,AVRO,529,2,325,MR WITH INDEX
NAIVE SCHEMA,AVRO,529,3,432,MR WITH INDEX
NAIVE SCHEMA,AVRO,529,4,222,MR WITH INDEX
NAIVE SCHEMA,AVRO,529,1,63,TEZ
NAIVE SCHEMA,AVRO,529,2,97,TEZ
NAIVE SCHEMA,AVRO,529,3,109,TEZ
NAIVE SCHEMA,AVRO,529,4,53,TEZ
NAIVE SCHEMA,AVRO,529,1,207,MR WITH VECTORIZATION
NAIVE SCHEMA,AVRO,529,2,324,MR WITH VECTORIZATION
NAIVE SCHEMA,AVRO,529,3,423,MR WITH VECTORIZATION
NAIVE SCHEMA,AVRO,529,4,228,MR WITH VECTORIZATION
NAIVE SCHEMA,RCFILE,350,1,83,MR DEFAULT
NAIVE SCHEMA,RCFILE,350,2,109,MR DEFAULT
NAIVE SCHEMA,RCFILE,350,3,178,MR DEFAULT
NAIVE SCHEMA,RCFILE,350,4,101,MR DEFAULT
NAIVE SCHEMA,RCFILE,350,1,81,MR WITH INDEX
NAIVE SCHEMA,RCFILE,350,2,110,MR WITH INDEX
NAIVE SCHEMA,RCFILE,350,3,181,MR WITH INDEX
NAIVE SCHEMA,RCFILE,350,4,101,MR WITH INDEX
NAIVE SCHEMA,RCFILE,350,1,23,TEZ
NAIVE SCHEMA,RCFILE,350,2,8,TEZ
NAIVE SCHEMA,RCFILE,350,3,7,TEZ
NAIVE SCHEMA,RCFILE,350,4,5,TEZ
NAIVE SCHEMA,RCFILE,350,1,86,MR WITH VECTORIZATION
NAIVE SCHEMA,RCFILE,350,2,108,MR WITH VECTORIZATION
NAIVE SCHEMA,RCFILE,350,3,181,MR WITH VECTORIZATION
NAIVE SCHEMA,RCFILE,350,4,99,MR WITH VECTORIZATION
NAIVE SCHEMA,ORC,83,1,52,MR DEFAULT
NAIVE SCHEMA,ORC,83,2,93,MR DEFAULT
NAIVE SCHEMA,ORC,83,3,122,MR DEFAULT
NAIVE SCHEMA,ORC,83,4,72,MR DEFAULT
NAIVE SCHEMA,ORC,83,1,-1,FAILED INDEX BUILD
NAIVE SCHEMA,ORC,83,2,-1,FAILED INDEX BUILD
NAIVE SCHEMA,ORC,83,3,-1,FAILED INDEX BUILD
NAIVE SCHEMA,ORC,83,4,-1,FAILED INDEX BUILD
NAIVE SCHEMA,ORC,83,1,19,TEZ
NAIVE SCHEMA,ORC,83,2,4,TEZ
NAIVE SCHEMA,ORC,83,3,13,TEZ
NAIVE SCHEMA,ORC,83,4,5,TEZ
NAIVE SCHEMA,ORC,83,1,55,MR WITH VECTORIZATION
NAIVE SCHEMA,ORC,83,2,92,MR WITH VECTORIZATION
NAIVE SCHEMA,ORC,83,3,124,MR WITH VECTORIZATION
NAIVE SCHEMA,ORC,83,4,71,MR WITH VECTORIZATION
NAIVE SCHEMA,PARQUET,132,1,59,MR DEFAULT
NAIVE SCHEMA,PARQUET,132,2,95,MR DEFAULT
NAIVE SCHEMA,PARQUET,132,3,138,MR DEFAULT
NAIVE SCHEMA,PARQUET,132,4,80,MR DEFAULT
NAIVE SCHEMA,PARQUET,132,1,-1,FAILED INDEX BUILD
NAIVE SCHEMA,PARQUET,132,2,-1,FAILED INDEX BUILD
NAIVE SCHEMA,PARQUET,132,3,-1,FAILED INDEX BUILD
NAIVE SCHEMA,PARQUET,132,4,-1,FAILED INDEX BUILD
NAIVE SCHEMA,PARQUET,132,1,23,TEZ
NAIVE SCHEMA,PARQUET,132,2,5,TEZ
NAIVE SCHEMA,PARQUET,132,3,8,TEZ
NAIVE SCHEMA,PARQUET,132,4,6,TEZ
NAIVE SCHEMA,PARQUET,132,1,61,MR WITH VECTORIZATION
NAIVE SCHEMA,PARQUET,132,2,98,MR WITH VECTORIZATION
NAIVE SCHEMA,PARQUET,132,3,141,MR WITH VECTORIZATION
NAIVE SCHEMA,PARQUET,132,4,77,MR WITH VECTORIZATION
PARTITIONED BY month,TEXTFORMAT,1052,1,217,MR DEFAULT
PARTITIONED BY month,TEXTFORMAT,1052,2,106,MR DEFAULT
PARTITIONED BY month,TEXTFORMAT,1052,3,184,MR DEFAULT
PARTITIONED BY month,TEXTFORMAT,1052,4,230,MR DEFAULT
PARTITIONED BY month,TEXTFORMAT,1052,1,195,MR WITH INDEX
PARTITIONED BY month,TEXTFORMAT,1052,2,106,MR WITH INDEX
PARTITIONED BY month,TEXTFORMAT,1052,3,182,MR WITH INDEX
PARTITIONED BY month,TEXTFORMAT,1052,4,209,MR WITH INDEX
PARTITIONED BY month,TEXTFORMAT,1052,1,110,TEZ
PARTITIONED BY month,TEXTFORMAT,1052,2,24,TEZ
PARTITIONED BY month,TEXTFORMAT,1052,3,70,TEZ
PARTITIONED BY month,TEXTFORMAT,1052,4,124,TEZ
PARTITIONED BY month,TEXTFORMAT,1052,1,209,MR WITH VECTORIZATION
PARTITIONED BY month,TEXTFORMAT,1052,2,109,MR WITH VECTORIZATION
PARTITIONED BY month,TEXTFORMAT,1052,3,186,MR WITH VECTORIZATION
PARTITIONED BY month,TEXTFORMAT,1052,4,215,MR WITH VECTORIZATION
PARTITIONED BY month,AVRO,515,1,255,MR DEFAULT
PARTITIONED BY month,AVRO,515,2,147,MR DEFAULT
PARTITIONED BY month,AVRO,515,3,193,MR DEFAULT
PARTITIONED BY month,AVRO,515,4,282,MR DEFAULT
PARTITIONED BY month,AVRO,515,1,203,MR WITH INDEX
PARTITIONED BY month,AVRO,515,2,121,MR WITH INDEX
PARTITIONED BY month,AVRO,515,3,208,MR WITH INDEX
PARTITIONED BY month,AVRO,515,4,216,MR WITH INDEX
PARTITIONED BY month,AVRO,515,1,73,TEZ
PARTITIONED BY month,AVRO,515,2,12,TEZ
PARTITIONED BY month,AVRO,515,3,32,TEZ
PARTITIONED BY month,AVRO,515,4,52,TEZ
PARTITIONED BY month,AVRO,515,1,208,MR WITH VECTORIZATION
PARTITIONED BY month,AVRO,515,2,115,MR WITH VECTORIZATION
PARTITIONED BY month,AVRO,515,3,186,MR WITH VECTORIZATION
PARTITIONED BY month,AVRO,515,4,209,MR WITH VECTORIZATION
PARTITIONED BY month,RCFILE,343,1,102,MR DEFAULT
PARTITIONED BY month,RCFILE,343,2,94,MR DEFAULT
PARTITIONED BY month,RCFILE,343,3,130,MR DEFAULT
PARTITIONED BY month,RCFILE,343,4,119,MR DEFAULT
PARTITIONED BY month,RCFILE,343,1,78,MR WITH INDEX
PARTITIONED BY month,RCFILE,343,2,92,MR WITH INDEX
PARTITIONED BY month,RCFILE,343,3,121,MR WITH INDEX
PARTITIONED BY month,RCFILE,343,4,97,MR WITH INDEX
PARTITIONED BY month,RCFILE,343,1,21,TEZ
PARTITIONED BY month,RCFILE,343,2,3,TEZ
PARTITIONED BY month,RCFILE,343,3,5,TEZ
PARTITIONED BY month,RCFILE,343,4,4,TEZ
PARTITIONED BY month,RCFILE,343,1,89,MR WITH VECTORIZATION
PARTITIONED BY month,RCFILE,343,2,91,MR WITH VECTORIZATION
PARTITIONED BY month,RCFILE,343,3,128,MR WITH VECTORIZATION
PARTITIONED BY month,RCFILE,343,4,101,MR WITH VECTORIZATION
PARTITIONED BY month,ORC,84,1,70,MR DEFAULT
PARTITIONED BY month,ORC,84,2,96,MR DEFAULT
PARTITIONED BY month,ORC,84,3,119,MR DEFAULT
PARTITIONED BY month,ORC,84,4,91,MR DEFAULT
PARTITIONED BY month,ORC,84,1,54,MR WITH INDEX
PARTITIONED BY month,ORC,84,2,92,MR WITH INDEX
PARTITIONED BY month,ORC,84,3,114,MR WITH INDEX
PARTITIONED BY month,ORC,84,4,73,MR WITH INDEX
PARTITIONED BY month,ORC,84,1,21,TEZ
PARTITIONED BY month,ORC,84,2,2,TEZ
PARTITIONED BY month,ORC,84,3,4,TEZ
PARTITIONED BY month,ORC,84,4,5,TEZ
PARTITIONED BY month,ORC,84,1,59,MR WITH VECTORIZATION
PARTITIONED BY month,ORC,84,2,93,MR WITH VECTORIZATION
PARTITIONED BY month,ORC,84,3,114,MR WITH VECTORIZATION
PARTITIONED BY month,ORC,84,4,72,MR WITH VECTORIZATION
PARTITIONED BY month,PARQUET,127,1,76,MR DEFAULT
PARTITIONED BY month,PARQUET,127,2,-1,FAILED MR DEFAULT
PARTITIONED BY month,PARQUET,127,3,-1,FAILED MR DEFAULT
PARTITIONED BY month,PARQUET,127,4,93,MR DEFAULT
PARTITIONED BY month,PARQUET,127,1,57,MR WITH INDEX
PARTITIONED BY month,PARQUET,127,2,-1,FAILED MR WITH INDEX
PARTITIONED BY month,PARQUET,127,3,-1,FAILED MR WITH INDEX
PARTITIONED BY month,PARQUET,127,4,76,MR WITH INDEX
PARTITIONED BY month,PARQUET,127,1,24,TEZ
PARTITIONED BY month,PARQUET,127,2,-1,FAILED TEZ
PARTITIONED BY month,PARQUET,127,3,-1,FAILED TEZ
PARTITIONED BY month,PARQUET,127,4,18,TEZ
PARTITIONED BY month,PARQUET,127,1,64,MR WITH VECTORIZATION
PARTITIONED BY month,PARQUET,127,2,-1,FAILED MR WITH VECTORIZATION
PARTITIONED BY month,PARQUET,127,3,-1,FAILED MR WITH VECTORIZATION
PARTITIONED BY month,PARQUET,127,4,74,MR WITH VECTORIZATION
CLUSTERED BY origin,TEXTFORMAT,1082,1,193,MR DEFAULT
CLUSTERED BY origin,TEXTFORMAT,1082,2,216,MR DEFAULT
CLUSTERED BY origin,TEXTFORMAT,1082,3,400,MR DEFAULT
CLUSTERED BY origin,TEXTFORMAT,1082,4,208,MR DEFAULT
CLUSTERED BY origin,TEXTFORMAT,1082,1,189,MR WITH INDEX
CLUSTERED BY origin,TEXTFORMAT,1082,2,222,MR WITH INDEX
CLUSTERED BY origin,TEXTFORMAT,1082,3,402,MR WITH INDEX
CLUSTERED BY origin,TEXTFORMAT,1082,4,209,MR WITH INDEX
CLUSTERED BY origin,TEXTFORMAT,1082,1,128,TEZ
CLUSTERED BY origin,TEXTFORMAT,1082,2,289,TEZ
CLUSTERED BY origin,TEXTFORMAT,1082,3,296,TEZ
CLUSTERED BY origin,TEXTFORMAT,1082,4,148,TEZ
CLUSTERED BY origin,TEXTFORMAT,1082,1,208,MR WITH VECTORIZATION
CLUSTERED BY origin,TEXTFORMAT,1082,2,232,MR WITH VECTORIZATION
CLUSTERED BY origin,TEXTFORMAT,1082,3,419,MR WITH VECTORIZATION
CLUSTERED BY origin,TEXTFORMAT,1082,4,222,MR WITH VECTORIZATION
CLUSTERED BY origin,AVRO,513,1,210,MR DEFAULT
CLUSTERED BY origin,AVRO,513,2,336,MR DEFAULT
CLUSTERED BY origin,AVRO,513,3,426,MR DEFAULT
CLUSTERED BY origin,AVRO,513,4,219,MR DEFAULT
CLUSTERED BY origin,AVRO,513,1,201,MR WITH INDEX
CLUSTERED BY origin,AVRO,513,2,324,MR WITH INDEX
CLUSTERED BY origin,AVRO,513,3,416,MR WITH INDEX
CLUSTERED BY origin,AVRO,513,4,207,MR WITH INDEX
CLUSTERED BY origin,AVRO,513,1,57,TEZ
CLUSTERED BY origin,AVRO,513,2,82,TEZ
CLUSTERED BY origin,AVRO,513,3,92,TEZ
CLUSTERED BY origin,AVRO,513,4,46,TEZ
CLUSTERED BY origin,AVRO,513,1,202,MR WITH VECTORIZATION
CLUSTERED BY origin,AVRO,513,2,308,MR WITH VECTORIZATION
CLUSTERED BY origin,AVRO,513,3,411,MR WITH VECTORIZATION
CLUSTERED BY origin,AVRO,513,4,204,MR WITH VECTORIZATION
CLUSTERED BY origin,RCFILE,321,1,83,MR DEFAULT
CLUSTERED BY origin,RCFILE,321,2,107,MR DEFAULT
CLUSTERED BY origin,RCFILE,321,3,176,MR DEFAULT
CLUSTERED BY origin,RCFILE,321,4,97,MR DEFAULT
CLUSTERED BY origin,RCFILE,321,1,76,MR WITH INDEX
CLUSTERED BY origin,RCFILE,321,2,108,MR WITH INDEX
CLUSTERED BY origin,RCFILE,321,3,196,MR WITH INDEX
CLUSTERED BY origin,RCFILE,321,4,103,MR WITH INDEX
CLUSTERED BY origin,RCFILE,321,1,23,TEZ
CLUSTERED BY origin,RCFILE,321,2,6,TEZ
CLUSTERED BY origin,RCFILE,321,3,7,TEZ
CLUSTERED BY origin,RCFILE,321,4,5,TEZ
CLUSTERED BY origin,RCFILE,321,1,83,MR WITH VECTORIZATION
CLUSTERED BY origin,RCFILE,321,2,118,MR WITH VECTORIZATION
CLUSTERED BY origin,RCFILE,321,3,217,MR WITH VECTORIZATION
CLUSTERED BY origin,RCFILE,321,4,97,MR WITH VECTORIZATION
CLUSTERED BY origin,ORC,107,1,53,MR DEFAULT
CLUSTERED BY origin,ORC,107,2,97,MR DEFAULT
CLUSTERED BY origin,ORC,107,3,131,MR DEFAULT
CLUSTERED BY origin,ORC,107,4,72,MR DEFAULT
CLUSTERED BY origin,ORC,107,1,-1,FAILED INDEX BUILD
CLUSTERED BY origin,ORC,107,2,-1,FAILED INDEX BUILD
CLUSTERED BY origin,ORC,107,3,-1,FAILED INDEX BUILD
CLUSTERED BY origin,ORC,107,4,-1,FAILED INDEX BUILD
CLUSTERED BY origin,ORC,107,1,26,TEZ
CLUSTERED BY origin,ORC,107,2,5,TEZ
CLUSTERED BY origin,ORC,107,3,9,TEZ
CLUSTERED BY origin,ORC,107,4,12,TEZ
CLUSTERED BY origin,ORC,107,1,56,MR WITH VECTORIZATION
CLUSTERED BY origin,ORC,107,2,93,MR WITH VECTORIZATION
